,Départements,Candidats,Votes
142,Lot,Blancs_nuls et abstentions,25.18230971128609
143,Lot-et-Garonne,Blancs_nuls et abstentions,29.089955456570156
144,Lozère,Blancs_nuls et abstentions,26.16622340425532
145,Maine-et-Loire,Blancs_nuls et abstentions,34.13093659942363
146,Manche,Blancs_nuls et abstentions,34.19299583911235
147,Marne,Blancs_nuls et abstentions,37.945625744934446
148,Martinique,Blancs_nuls et abstentions,155.97225903614458
149,Mayenne,Blancs_nuls et abstentions,38.86775280898876
150,Mayotte,Blancs_nuls et abstentions,169.73835164835165
151,Meurthe-et-Moselle,Blancs_nuls et abstentions,35.75248128342246
152,Meuse,Blancs_nuls et abstentions,32.65302083333333
153,Morbihan,Blancs_nuls et abstentions,30.48893371757925
154,Moselle,Blancs_nuls et abstentions,40.195687500000005
155,Nièvre,Blancs_nuls et abstentions,37.39031914893617
156,Nord,Blancs_nuls et abstentions,42.85092407592408
157,Nouvelle-Calédonie,Blancs_nuls et abstentions,808.7666101694915
158,Orne,Blancs_nuls et abstentions,33.44843396226415
159,Puy-de-Dôme,Blancs_nuls et abstentions,31.232105263157898
160,Pyrénées-Atlantiques,Blancs_nuls et abstentions,28.897829545454545
161,Pyrénées-Orientales,Blancs_nuls et abstentions,34.8713125
162,Rhône,Blancs_nuls et abstentions,32.288063781321185
163,Saint-Martin/Saint-Barthélemy,Blancs_nuls et abstentions,214.05625
164,Saint-Pierre-et-Miquelon,Blancs_nuls et abstentions,92.6875
165,Sarthe,Blancs_nuls et abstentions,37.57504950495049
166,Savoie,Blancs_nuls et abstentions,29.509100418410043
167,Saône-et-Loire,Blancs_nuls et abstentions,32.58741677762983
168,Seine-Maritime,Blancs_nuls et abstentions,39.384380103934674
169,Seine-Saint-Denis,Blancs_nuls et abstentions,50.61695493300852
170,Tarn,Blancs_nuls et abstentions,36.3532382892057
171,Tarn-et-Garonne,Blancs_nuls et abstentions,29.33742372881356
172,Territoire de Belfort,Blancs_nuls et abstentions,42.47443708609272
173,Val-d'Oise,Blancs_nuls et abstentions,38.4632962962963
174,Val-de-Marne,Blancs_nuls et abstentions,43.93264596273292
175,Var,Blancs_nuls et abstentions,38.43368648648649
176,Vaucluse,Blancs_nuls et abstentions,38.16357001972386
177,Vendée,Blancs_nuls et abstentions,31.958474025974024
178,Vienne,Blancs_nuls et abstentions,33.03206593406593
179,Wallis et Futuna,Blancs_nuls et abstentions,77.79
180,Yonne,Blancs_nuls et abstentions,40.76977430555556
181,Yvelines,Blancs_nuls et abstentions,32.30817097415507
182,Ain,Nathalie ARTHAUD,0.5111643835616438
183,Allier,Nathalie ARTHAUD,0.7306858407079646
184,Alpes-de-Haute-Provence,Nathalie ARTHAUD,0.5223664122137405
185,Ardennes,Nathalie ARTHAUD,0.8017710196779965
186,Ardèche,Nathalie ARTHAUD,0.6408904109589041
187,Ariège,Nathalie ARTHAUD,0.4451322751322751
188,Aube,Nathalie ARTHAUD,0.6615730337078652
189,Aude,Nathalie ARTHAUD,0.46054607508532425
190,Aveyron,Nathalie ARTHAUD,0.5431278538812786
191,Bas-Rhin,Nathalie ARTHAUD,0.6745563310069791
192,Bouches-du-Rhône,Nathalie ARTHAUD,0.3576060388209921
193,Calvados,Nathalie ARTHAUD,0.7064967462039046
194,Cantal,Nathalie ARTHAUD,0.6000341296928328
195,Charente,Nathalie ARTHAUD,0.699156862745098
196,Charente-Maritime,Nathalie ARTHAUD,0.6294230769230769
197,Cher,Nathalie ARTHAUD,0.8077574370709383
198,Corrèze,Nathalie ARTHAUD,0.6209635416666667
199,Creuse,Nathalie ARTHAUD,0.7271223021582734
200,Côte-d'Or,Nathalie ARTHAUD,0.6824118942731278
201,Côtes-d'Armor,Nathalie ARTHAUD,0.7470076335877863
202,Doubs,Nathalie ARTHAUD,0.7263143989431969
203,Drôme,Nathalie ARTHAUD,0.6640504201680673
204,Essonne,Nathalie ARTHAUD,0.48258426966292134
205,Eure,Nathalie ARTHAUD,0.6742732919254658
206,Eure-et-Loir,Nathalie ARTHAUD,0.6353068592057761
207,Finistère,Nathalie ARTHAUD,0.6713942307692308
208,Français établis hors de France,Nathalie ARTHAUD,0.26105769230769227
209,Gard,Nathalie ARTHAUD,0.47844972067039104
210,Gers,Nathalie ARTHAUD,0.4660707269155206
211,Gironde,Nathalie ARTHAUD,0.4338078291814947
212,Guadeloupe,Nathalie ARTHAUD,0.842452380952381
213,Guyane,Nathalie ARTHAUD,1.0294736842105265
214,Haut-Rhin,Nathalie ARTHAUD,0.6015720524017467
215,Haute-Corse,Nathalie ARTHAUD,0.34055384615384615
216,Haute-Loire,Nathalie ARTHAUD,0.7255864197530865
217,Haute-Marne,Nathalie ARTHAUD,0.7472241992882562
218,Haute-Savoie,Nathalie ARTHAUD,0.4471739130434783
219,Haute-Saône,Nathalie ARTHAUD,0.8737785016286646
220,Haute-Vienne,Nathalie ARTHAUD,0.7414550264550264
221,Hautes-Alpes,Nathalie ARTHAUD,0.6026699029126213
222,Hautes-Pyrénées,Nathalie ARTHAUD,0.4821466905187835
223,Hauts-de-Seine,Nathalie ARTHAUD,0.3100389483933788
224,Hérault,Nathalie ARTHAUD,0.4197879109225875
225,Ille-et-Vilaine,Nathalie ARTHAUD,0.6552753303964758
226,Indre,Nathalie ARTHAUD,0.9362883435582823
227,Indre-et-Loire,Nathalie ARTHAUD,0.708270944741533
228,Jura,Nathalie ARTHAUD,0.7073262032085561
229,La Réunion,Nathalie ARTHAUD,1.0489462365591398
230,Landes,Nathalie ARTHAUD,0.42415533980582526
231,Loir-et-Cher,Nathalie ARTHAUD,0.8155754475703324
232,Loiret,Nathalie ARTHAUD,0.5942620481927711
233,Lot,Nathalie ARTHAUD,0.5634383202099738
234,Lot-et-Garonne,Nathalie ARTHAUD,0.4946102449888642
235,Lozère,Nathalie ARTHAUD,0.524468085106383
236,Maine-et-Loire,Nathalie ARTHAUD,0.703342939481268
237,Manche,Nathalie ARTHAUD,0.8207905686546463
238,Marne,Nathalie ARTHAUD,0.6140762812872468
239,Martinique,Nathalie ARTHAUD,1.224186746987952
240,Mayenne,Nathalie ARTHAUD,0.7517696629213483
241,Mayotte,Nathalie ARTHAUD,1.2976373626373625
242,Meurthe-et-Moselle,Nathalie ARTHAUD,0.7315828877005347
243,Meuse,Nathalie ARTHAUD,0.7130729166666667
244,Morbihan,Nathalie ARTHAUD,0.6536023054755044
245,Moselle,Nathalie ARTHAUD,0.6991953125
246,Nièvre,Nathalie ARTHAUD,0.7241223404255319
247,Nord,Nathalie ARTHAUD,0.6156093906093907
248,Nouvelle-Calédonie,Nathalie ARTHAUD,1.2281694915254238
249,Orne,Nathalie ARTHAUD,0.7378679245283019
250,Puy-de-Dôme,Nathalie ARTHAUD,0.7558974358974359
251,Pyrénées-Atlantiques,Nathalie ARTHAUD,0.44059090909090914
252,Pyrénées-Orientales,Nathalie ARTHAUD,0.5333958333333334
253,Rhône,Nathalie ARTHAUD,0.42874715261958996
254,Saint-Martin/Saint-Barthélemy,Nathalie ARTHAUD,0.5525
255,Saint-Pierre-et-Miquelon,Nathalie ARTHAUD,0.7374999999999999
256,Sarthe,Nathalie ARTHAUD,0.7152640264026402
257,Savoie,Nathalie ARTHAUD,0.5103556485355648
258,Saône-et-Loire,Nathalie ARTHAUD,0.6977363515312917
259,Seine-Maritime,Nathalie ARTHAUD,0.7152783964365256
260,Seine-Saint-Denis,Nathalie ARTHAUD,0.4996833130328867
261,Tarn,Nathalie ARTHAUD,0.5056619144602852
262,Tarn-et-Garonne,Nathalie ARTHAUD,0.43508474576271183
263,Territoire de Belfort,Nathalie ARTHAUD,0.8388079470198675
264,Val-d'Oise,Nathalie ARTHAUD,0.45628395061728394
265,Val-de-Marne,Nathalie ARTHAUD,0.43626086956521737
266,Var,Nathalie ARTHAUD,0.35262702702702703
267,Vaucluse,Nathalie ARTHAUD,0.40767258382642996
268,Vendée,Nathalie ARTHAUD,0.6307467532467533
269,Vienne,Nathalie ARTHAUD,0.7601758241758242
270,Wallis et Futuna,Nathalie ARTHAUD,1.83
271,Yonne,Nathalie ARTHAUD,0.7313020833333334
272,Yvelines,Nathalie ARTHAUD,0.39351888667992047
273,Ain,Fabien ROUSSEL,1.8777397260273971
274,Allier,Fabien ROUSSEL,4.566681415929203
275,Alpes-de-Haute-Provence,Fabien ROUSSEL,2.89412213740458
276,Ardennes,Fabien ROUSSEL,1.9977817531305904
277,Ardèche,Fabien ROUSSEL,3.0142465753424657
278,Ariège,Fabien ROUSSEL,2.9603968253968254
279,Aube,Fabien ROUSSEL,1.90561797752809
280,Aude,Fabien ROUSSEL,2.7686348122866895
281,Aveyron,Fabien ROUSSEL,2.6150228310502284
282,Bas-Rhin,Fabien ROUSSEL,1.2063409770687936
283,Bouches-du-Rhône,Fabien ROUSSEL,2.4232207045291156
284,Calvados,Fabien ROUSSEL,2.15472885032538
285,Cantal,Fabien ROUSSEL,2.553924914675768
286,Charente,Fabien ROUSSEL,2.814529411764706
287,Charente-Maritime,Fabien ROUSSEL,2.5669871794871795
288,Cher,Fabien ROUSSEL,3.444805491990847
289,Corrèze,Fabien ROUSSEL,4.886666666666667
290,Creuse,Fabien ROUSSEL,3.570035971223022
291,Côte-d'Or,Fabien ROUSSEL,2.100748898678414
292,Côtes-d'Armor,Fabien ROUSSEL,3.164885496183206
293,Doubs,Fabien ROUSSEL,1.7682959048877145
294,Drôme,Fabien ROUSSEL,2.5185210084033613
295,Essonne,Fabien ROUSSEL,2.2776966292134833
296,Eure,Fabien ROUSSEL,2.091192546583851
297,Eure-et-Loir,Fabien ROUSSEL,1.8745306859205777
298,Finistère,Fabien ROUSSEL,2.85453125
299,Français établis hors de France,Fabien ROUSSEL,0.8016826923076923
300,Gard,Fabien ROUSSEL,3.284776536312849
301,Gers,Fabien ROUSSEL,2.767681728880157
302,Gironde,Fabien ROUSSEL,2.413096085409253
303,Guadeloupe,Fabien ROUSSEL,0.4868095238095238
304,Guyane,Fabien ROUSSEL,0.6799248120300753
305,Haut-Rhin,Fabien ROUSSEL,1.1846724890829694
306,Haute-Corse,Fabien ROUSSEL,3.908369230769231
307,Haute-Loire,Fabien ROUSSEL,2.5835185185185185
308,Haute-Marne,Fabien ROUSSEL,1.8345195729537367
309,Haute-Savoie,Fabien ROUSSEL,1.4234937888198758
310,Haute-Saône,Fabien ROUSSEL,2.017703583061889
311,Haute-Vienne,Fabien ROUSSEL,4.071349206349207
312,Hautes-Alpes,Fabien ROUSSEL,2.4301456310679614
313,Hautes-Pyrénées,Fabien ROUSSEL,3.326618962432916
314,Hauts-de-Seine,Fabien ROUSSEL,1.7457156767283348
315,Hérault,Fabien ROUSSEL,2.270307529162248
316,Ille-et-Vilaine,Fabien ROUSSEL,2.1430726872246697
317,Indre,Fabien ROUSSEL,3.025153374233129
318,Indre-et-Loire,Fabien ROUSSEL,2.4127629233511585
319,Jura,Fabien ROUSSEL,2.146399286987522
320,La Réunion,Fabien ROUSSEL,0.8947849462365591
321,Landes,Fabien ROUSSEL,3.2798252427184464
322,Loir-et-Cher,Fabien ROUSSEL,2.4576470588235297
323,Loiret,Fabien ROUSSEL,2.213433734939759
324,Lot,Fabien ROUSSEL,3.1818897637795276
325,Lot-et-Garonne,Fabien ROUSSEL,2.664097995545657
326,Lozère,Fabien ROUSSEL,2.8913297872340427
327,Maine-et-Loire,Fabien ROUSSEL,1.8830691642651296
328,Manche,Fabien ROUSSEL,2.4094174757281555
329,Marne,Fabien ROUSSEL,1.7670560190703217
330,Martinique,Fabien ROUSSEL,0.6121385542168675
331,Mayenne,Fabien ROUSSEL,1.8933426966292135
332,Mayotte,Fabien ROUSSEL,0.5814835164835165
333,Meurthe-et-Moselle,Fabien ROUSSEL,2.1915614973262034
334,Meuse,Fabien ROUSSEL,1.8539756944444445
335,Morbihan,Fabien ROUSSEL,2.4678530259365994
336,Moselle,Fabien ROUSSEL,1.6070390625000002
337,Nièvre,Fabien ROUSSEL,3.515771276595745
338,Nord,Fabien ROUSSEL,3.6340359640359643
339,Nouvelle-Calédonie,Fabien ROUSSEL,0.6193898305084746
340,Orne,Fabien ROUSSEL,2.0547735849056603
341,Puy-de-Dôme,Fabien ROUSSEL,3.8344129554655875
342,Pyrénées-Atlantiques,Fabien ROUSSEL,2.594227272727273
343,Pyrénées-Orientales,Fabien ROUSSEL,2.7828541666666666
344,Rhône,Fabien ROUSSEL,1.7792103264996202
345,Saint-Martin/Saint-Barthélemy,Fabien ROUSSEL,0.5916666666666667
346,Saint-Pierre-et-Miquelon,Fabien ROUSSEL,0.73
347,Sarthe,Fabien ROUSSEL,2.306831683168317
348,Savoie,Fabien ROUSSEL,2.4147071129707114
349,Saône-et-Loire,Fabien ROUSSEL,2.434234354194407
350,Seine-Maritime,Fabien ROUSSEL,2.9534224201930215
351,Seine-Saint-Denis,Fabien ROUSSEL,2.1007673568818515
352,Tarn,Fabien ROUSSEL,2.236945010183299
353,Tarn-et-Garonne,Fabien ROUSSEL,2.6214915254237288
354,Territoire de Belfort,Fabien ROUSSEL,2.138079470198676
355,Val-d'Oise,Fabien ROUSSEL,1.8780617283950618
356,Val-de-Marne,Fabien ROUSSEL,2.6186459627329195
357,Var,Fabien ROUSSEL,1.809718918918919
358,Vaucluse,Fabien ROUSSEL,2.023333333333333
359,Vendée,Fabien ROUSSEL,1.9537337662337662
360,Vienne,Fabien ROUSSEL,2.805032967032967
361,Wallis et Futuna,Fabien ROUSSEL,0.63
362,Yonne,Fabien ROUSSEL,2.5568055555555556
363,Yvelines,Fabien ROUSSEL,1.6226640159045727
364,Ain,Emmanuel MACRON,26.561849315068496
365,Allier,Emmanuel MACRON,25.701769911504428
366,Alpes-de-Haute-Provence,Emmanuel MACRON,20.776030534351143
367,Ardennes,Emmanuel MACRON,23.98470483005367
368,Ardèche,Emmanuel MACRON,21.94029680365297
369,Ariège,Emmanuel MACRON,18.097380952380952
370,Aube,Emmanuel MACRON,24.537640449438204
371,Aude,Emmanuel MACRON,18.99986348122867
372,Aveyron,Emmanuel MACRON,26.919977168949774
373,Bas-Rhin,Emmanuel MACRON,29.98790628115653
374,Bouches-du-Rhône,Emmanuel MACRON,22.37371675053918
375,Calvados,Emmanuel MACRON,30.042039045553143
376,Cantal,Emmanuel MACRON,26.892047781569964
377,Charente,Emmanuel MACRON,26.665901960784314
378,Charente-Maritime,Emmanuel MACRON,27.665294871794874
379,Cher,Emmanuel MACRON,26.204141876430203
380,Corrèze,Emmanuel MACRON,21.634947916666665
381,Creuse,Emmanuel MACRON,21.936510791366906
382,Côte-d'Or,Emmanuel MACRON,26.50363436123348
383,Côtes-d'Armor,Emmanuel MACRON,30.1047786259542
384,Doubs,Emmanuel MACRON,26.35447820343461
385,Drôme,Emmanuel MACRON,23.636554621848738
386,Essonne,Emmanuel MACRON,27.034370786516853
387,Eure,Emmanuel MACRON,25.67362732919255
388,Eure-et-Loir,Emmanuel MACRON,26.392761732851987
389,Finistère,Emmanuel MACRON,31.776009615384616
390,Français établis hors de France,Emmanuel MACRON,41.54524038461538
391,Gard,Emmanuel MACRON,20.725251396648044
392,Gers,Emmanuel MACRON,23.967190569744595
393,Gironde,Emmanuel MACRON,27.56578647686833
394,Guadeloupe,Emmanuel MACRON,13.254714285714284
395,Guyane,Emmanuel MACRON,14.606165413533834
396,Haut-Rhin,Emmanuel MACRON,27.46240174672489
397,Haute-Corse,Emmanuel MACRON,18.67529230769231
398,Haute-Loire,Emmanuel MACRON,22.147376543209877
399,Haute-Marne,Emmanuel MACRON,22.753345195729537
400,Haute-Savoie,Emmanuel MACRON,30.049083850931677
401,Haute-Saône,Emmanuel MACRON,21.73441368078176
402,Haute-Vienne,Emmanuel MACRON,26.153862433862432
403,Hautes-Alpes,Emmanuel MACRON,22.84868932038835
404,Hautes-Pyrénées,Emmanuel MACRON,23.552790697674418
405,Hauts-de-Seine,Emmanuel MACRON,36.43383641674781
406,Hérault,Emmanuel MACRON,21.66322375397667
407,Ille-et-Vilaine,Emmanuel MACRON,34.2886013215859
408,Indre,Emmanuel MACRON,24.964233128834355
409,Indre-et-Loire,Emmanuel MACRON,30.215169340463458
410,Jura,Emmanuel MACRON,24.136791443850267
411,La Réunion,Emmanuel MACRON,17.609655913978493
412,Landes,Emmanuel MACRON,26.10611650485437
413,Loir-et-Cher,Emmanuel MACRON,27.2339641943734
414,Loiret,Emmanuel MACRON,27.88171686746988
415,Lot,Emmanuel MACRON,24.584173228346454
416,Lot-et-Garonne,Emmanuel MACRON,22.392204899777283
417,Lozère,Emmanuel MACRON,21.422074468085107
418,Maine-et-Loire,Emmanuel MACRON,34.78253602305476
419,Manche,Emmanuel MACRON,31.325631067961165
420,Marne,Emmanuel MACRON,27.798271752085817
421,Martinique,Emmanuel MACRON,16.10331325301205
422,Mayenne,Emmanuel MACRON,34.91370786516854
423,Mayotte,Emmanuel MACRON,16.11412087912088
424,Meurthe-et-Moselle,Emmanuel MACRON,25.64052406417112
425,Meuse,Emmanuel MACRON,24.311284722222222
426,Morbihan,Emmanuel MACRON,32.20798270893372
427,Moselle,Emmanuel MACRON,25.3307734375
428,Nièvre,Emmanuel MACRON,24.701702127659576
429,Nord,Emmanuel MACRON,25.641863136863137
430,Nouvelle-Calédonie,Emmanuel MACRON,31.293322033898306
431,Orne,Emmanuel MACRON,29.5197358490566
432,Puy-de-Dôme,Emmanuel MACRON,26.259163292847504
433,Pyrénées-Atlantiques,Emmanuel MACRON,25.994875
434,Pyrénées-Orientales,Emmanuel MACRON,19.94714583333333
435,Rhône,Emmanuel MACRON,29.99355353075171
436,Saint-Martin/Saint-Barthélemy,Emmanuel MACRON,25.20041666666667
437,Saint-Pierre-et-Miquelon,Emmanuel MACRON,19.6125
438,Sarthe,Emmanuel MACRON,27.213927392739272
439,Savoie,Emmanuel MACRON,25.417384937238495
440,Saône-et-Loire,Emmanuel MACRON,26.834980026631158
441,Seine-Maritime,Emmanuel MACRON,27.06247216035635
442,Seine-Saint-Denis,Emmanuel MACRON,20.105627283800246
443,Tarn,Emmanuel MACRON,22.571384928716903
444,Tarn-et-Garonne,Emmanuel MACRON,21.28891525423729
445,Territoire de Belfort,Emmanuel MACRON,23.60543046357616
446,Val-d'Oise,Emmanuel MACRON,25.800876543209874
447,Val-de-Marne,Emmanuel MACRON,28.346086956521738
448,Var,Emmanuel MACRON,23.650399999999998
449,Vaucluse,Emmanuel MACRON,22.005818540433925
450,Vendée,Emmanuel MACRON,35.02482142857143
451,Vienne,Emmanuel MACRON,28.108835164835167
452,Wallis et Futuna,Emmanuel MACRON,39.47
453,Yonne,Emmanuel MACRON,24.077083333333334
454,Yvelines,Emmanuel MACRON,32.72673956262425
455,Ain,Jean LASSALLE,3.642893835616438
456,Allier,Jean LASSALLE,4.744159292035398
457,Alpes-de-Haute-Provence,Jean LASSALLE,5.776374045801527
458,Ardennes,Jean LASSALLE,3.9591949910554565
459,Ardèche,Jean LASSALLE,5.315296803652968
460,Ariège,Jean LASSALLE,9.337671957671958
461,Aube,Jean LASSALLE,2.932059925093633
462,Aude,Jean LASSALLE,7.461877133105801
463,Aveyron,Jean LASSALLE,9.84095890410959
464,Bas-Rhin,Jean LASSALLE,2.744885343968096
465,Bouches-du-Rhône,Jean LASSALLE,2.387706685837527
466,Calvados,Jean LASSALLE,2.926822125813449
467,Cantal,Jean LASSALLE,9.443856655290103
468,Charente,Jean LASSALLE,5.104901960784313
469,Charente-Maritime,Jean LASSALLE,4.02401282051282
470,Cher,Jean LASSALLE,3.723203661327231
471,Corrèze,Jean LASSALLE,8.054140625
472,Creuse,Jean LASSALLE,7.426798561151079
473,Côte-d'Or,Jean LASSALLE,3.8655616740088106
474,Côtes-d'Armor,Jean LASSALLE,3.513709923664122
475,Doubs,Jean LASSALLE,4.124253632760898
